The SAS System,,,,,,,,,,,
,,,,,,,,,,,
release_id,estimize_actual,anndats,ibes_actvalue,IBES_adj_actual,ticker,etick,y,ibes_right,estimize_right,formatted_date,
68273,0.2,11/1/2012,0.13,0.13,ABMD,ABMD,0.07,0,0,11/1/2012,0.18
93116,0.33,7/10/2012,0.3,0.3,ADTN,ADTN,0.03,0,0,7/10/2012,
93235,0.3,7/15/2014,0.26,0.26,ADTN,ADTN,0.04,0,1,7/15/2014,
102172,0.43,5/5/2014,0.35,0.35,AEIS,AEIS,0.08,0,0,5/5/2014,0.44
82232,0.39,8/4/2014,0.36,0.36,AIN,AIN,0.03,0,0,8/4/2014,0.37
73716,0.12,3/30/2015,0.49,0.49,AIR,AIR,0.37,0,0,3/30/2015,0.94
48994,0.36,4/6/2014,0.31,0.31,AJG,AJG,0.05,0,0,4/6/2014,
49000,0.7,7/29/2014,0.8,0.8,AJG,AJG,0.1,0,1,7/29/2014,
49078,0.58,10/28/2014,0.69,0.69,AJG,AJG,0.11,0,0,10/28/2014,0.68
99610,0.7,2/10/2015,0.65,0.65,AKAM,AKAM,0.05,0,1,2/10/2015,
33241,-0.28,4/28/2015,-0.32,-0.32,AKS,AKS,0.04,0,1,4/28/2015,
33153,-0.4,4/22/2014,-0.59,-0.59,AKS,AKS,0.19,0,1,4/22/2014,
33013,-0.26,1/24/2012,-0.51,-0.51,AKS,AKS,0.25,na,na,1/24/2012,
714,1.23,10/17/2012,1.1,1.1,ALB,ALB,0.13,1,0,10/17/2012,
68472,0.4,10/17/2013,0.42,0.42,ALGN,ALGN,0.02,0,1,10/17/2013,
57686,-0.63,8/7/2014,-0.58,-0.58,ALNY,ALNY,0.05,0,1,8/7/2014,
15507,0.28,2/9/2015,0.34,0.34,ALSN,ALSN,0.06,0,0,2/9/2015,
17869,0.3,2/17/2015,0.32,0.32,AMC,AMC,0.02,0,1,2/17/2015,
15664,1.87,8/8/2013,0.73,0.73,AMCX,AMCX,1.14,0,0,8/8/2013,
31693,-0.24,7/24/2014,-0.27,-0.27,AMZN,AMZN,0.03,1,0,7/24/2014,
31022,0.01,7/26/2012,0.16,0.16,AMZN,AMZN,0.15,na,na,7/26/2012,
101288,-0.07,10/22/2014,-0.09,-0.09,ANGI,ANGI,0.02,0,0,10/22/2014,
112466,0.68,2/23/2012,0.73,0.73,ANSS,ANSS,0.05,na,na,2/23/2012,
75703,0.63,7/22/2014,0.66,0.66,AOS,AOS,0.03,0,0,7/22/2014,
551,1.26,1/24/2012,1.36,1.36,APD,APD,0.1,na,na,1/24/2012,
45452,-0.63,11/18/2013,-0.57,-0.57,APU,APU,0.06,0,0,11/18/2013,
45432,-0.43,7/30/2013,-0.32,-0.32,APU,APU,0.11,0,1,7/30/2013,
45536,2.71,5/4/2015,2.17,2.17,APU,APU,0.54,0,0,5/4/2015,1.37
39289,-0.02,2/21/2013,-0.04,-0.04,AREX,AREX,0.02,1,0,2/21/2013,
56766,0.2,4/24/2013,0.36,0.36,ASGN,ASGN,0.16,0,0,4/24/2013,
105113,1.11,1/17/2013,0.52,0.52,ASML,ASML,0.59,0,0,1/17/2013,
65382,0.3,10/18/2012,0.25,0.25,ATHN,ATHN,0.05,0,0,10/18/2012,
73665,-0.18,9/3/2014,-0.16,-0.16,AVAV,AVAV,0.02,0,0,9/3/2014,
73797,-0.04,6/25/2013,-0.32,-0.32,AVAV,AVAV,0.28,0,0,6/25/2013,
59498,-0.49,2/13/2013,-0.43,-0.43,AVEO,AVEO,0.06,0,0,2/13/2013,
14719,0.54,2/23/2015,0.46,0.46,AXL,AXL,0.08,0,0,2/23/2015,
14713,4.21,2/8/2013,-0.02,-0.02,AXL,AXL,4.23,0,0,2/8/2013,
50350,1.43,7/29/2014,1.38,1.38,AXP,AXP,0.05,0,0,7/29/2014,
